Club,Year,GamesPlayed,GamesStarted,MinutesPlayed,GoalsScored,Assists,Shots,ShotsOnGoal,GameWinningGoal,HomeGoals,RoadGoals,GoalsPer90Minutes,ShotConversion,GameWinningAssists,HomeAssists,RoadAssists,AssistsPer90Min,FoulsCommitted,FoulsSufferred,Offsides,YellowCards,RedCards
Atlanta United,2020,330,230,20634,23,26,219,81,6,10,13,2.3100000000000005,179.99999999999997,6,12,14,2.61,306,330,38,47,3
CF Montreal,2020,305,236,20996,34,30,257,98,8,17,17,3.93,188.4,12,12,18,7.47,279,212,51,34,5
Chicago FIre FC,2020,318,230,20646,33,31,319,111,5,23,10,2.0500000000000003,164.20000000000002,5,20,11,2.4000000000000004,323,275,50,38,1
Colorado Rapids,2020,243,175,15632,27,32,231,90,8,12,15,2.9400000000000004,190.4,7,13,19,3.55,194,177,24,30,2
Columbus Crew,2020,322,230,20725,34,36,251,91,12,22,12,2.7800000000000002,184.10000000000002,13,22,14,2.92,309,311,41,44,0
D.C. United,2020,320,234,20843,23,17,224,73,6,11,12,2.22,230.20000000000005,3,5,12,1.6400000000000003,269,277,48,42,3
FC Cincinnati,2020,305,229,20611,11,6,233,65,4,4,7,0.9000000000000001,69.7,2,1,5,0.75,307,300,35,39,0
FC Dallas,2020,312,220,19800,28,25,278,104,9,21,7,3.71,248.8,10,19,6,2.3600000000000003,255,277,28,40,1
Houston Dynamo FC,2020,318,229,20622,30,29,324,117,4,14,16,3.12,125.8,6,13,16,2.45,279,246,44,52,3
Inter Miami CF,2020,319,226,20398,26,27,295,95,7,14,12,3.4099999999999993,252.5,5,14,13,1.89,330,317,48,53,4
LA Galaxy,2020,298,220,19655,26,23,249,94,6,16,10,9.2,174.9,6,15,8,4.48,288,193,35,37,4
Los Angeles FC,2020,312,220,19763,45,43,358,133,9,37,8,4.38,224.5,9,33,10,5.5600000000000005,262,260,45,35,1
Minnesota United FC,2020,279,209,18968,35,37,300,101,8,17,18,3.96,250.0,7,21,16,3.76,273,254,18,40,2
Nashville SC,2020,333,232,20887,25,26,278,100,8,14,11,3.46,153.2,8,17,9,2.3499999999999996,318,265,25,32,1
New England Revolution,2020,334,232,20814,25,24,351,111,8,9,16,1.9800000000000002,76.60000000000001,5,7,17,2.5799999999999996,266,276,44,35,2
New York City,2020,324,230,20658,36,28,356,145,11,23,13,4.38,173.3,7,17,11,2.12,358,240,66,51,1
New York City Red Bulls,2020,332,230,20599,29,30,244,85,9,13,16,3.4600000000000004,242.8,11,18,12,2.94,285,254,47,29,1
Orlando City SC,2020,330,230,20641,39,39,266,100,11,26,13,7.83,266.4,13,25,14,3.5300000000000002,291,294,26,45,2
Philadelphia Union,2020,316,230,20700,43,43,297,123,14,27,16,5.019999999999999,230.4,14,27,16,3.4,314,224,48,53,0
Portland Timbers,2020,326,230,20685,46,48,259,107,11,21,25,4.55,393.70000000000005,12,24,24,3.7999999999999994,261,293,27,43,1
Real Salt Lake,2020,302,220,19747,23,19,277,78,5,13,10,2.21,122.30000000000001,2,8,11,1.33,296,209,27,48,2
San Jose Earthquakes,2020,324,230,20671,34,30,305,116,8,16,18,3.2399999999999998,209.2,5,14,16,2.8200000000000003,275,260,32,37,1
Seattle Sounders FC,2020,313,222,19957,41,46,281,102,10,28,13,2.5100000000000002,143.9,12,26,20,3.0000000000000004,222,235,45,32,1
Sporting Kansas City,2020,283,210,18874,37,31,313,103,11,22,15,3.92,253.7,12,16,15,2.5799999999999996,256,223,30,42,1
Toronto FC,2020,328,230,20700,33,30,290,116,13,16,17,3.47,172.49999999999997,11,18,12,2.15,240,266,42,34,0
Vancouver Whitecaps FC,2020,314,226,20197,23,28,186,68,8,18,5,1.9900000000000004,187.89999999999998,13,21,7,2.6199999999999997,256,280,24,38,4
